matricula  U.E.A. Trim Ev. Cal Plan
 209311434 2132075 15I REC. NA  56 J32075
 209311434 2141026 15I GLO. NA  56 BE01
 209311434 2255065 15I REC. NA  56 J55065
 209311434 2141026 15O GLO. S   56 BE52
 209311434 2255065 15O GLO. MB  56 HE02
 209311434 2255066 15O REC. NA  56 J55066
 209311434 2331066 15O GLO. NA  56 BE07
 209311434 2331066 15O REC. NA  56 J31066
 209311434 2255066 16I REC. S   56 J55066
 209311434 2331066 16I GLO. B   56 BE58
 209311434 2132064 16P GLO. S   56 BG01
 209311434 2132075 16P REC. NA  56 J32075
 209311434 2331067 16P GLO. S   56 BF58
 209311434 2331073 16P GLO. B   56 BI08
 209311434 2332083 16P GLO. B   56 BJ58
 209311434 2132065 16O GLO. MB  56 BH01
 209311434 2132075 16O REC. B   56 J11434
 209311434 2331076 16O GLO. MB  56 BK08
 209311434 2332060 17I GLO. NA  56 BH08
 209311434 2132060 17P GLO. NA  56 BC01
 209311434 2132061 17P GLO. S   56 BD51
 209311434 2332060 17P GLO. NA  56 BH08
 209311434 2132060 17O GLO. S   56 BC51
 209311434 2122082 18I REC. B   56 J22082
 209311434 2132062 18I GLO. S   56 BE02
 209311434 2332060 18I REC. NA  56 J32060
 209311434 2122083 18P GLO. B   56 BG01
 209311434 2122084 18P REC. B   56 J22084
 209311434 2132063 18P GLO. S   56 BF02
 209311434 2141125 18P GLO. B   56 CM01
 209311434 2331072 18P GLO. B   56 BH08
 209311434 2332060 18P REC. NA  56 J32060
 209311434 2242036 18O GLO. B   56 HA05
 209311434 2255317 18O GLO. B   56 BA51
 209311434 2255413 18O GLO. B   56 HA02
 209311434 2321088 18O REC. MB  56 J21088
 209311434 2331074 18O GLO. NA  56 BI08
 209311434 2331074 18O REC. NA  56 J31074
 209311434 2331077 18O GLO. B   56 BJ08
 209311434 2211081 19I GLO. MB  56 HC52
 209311434 2331068 19I GLO. B   56 BK58
 209311434 2331074 19I GLO. B   56 BI58
 209311434 2332064 19I GLO. S   56 BG58
