matricula  U.E.A. Trim Ev. Cal Plan
2122016097 2321085 20P GLO. MB  55 BI06B
2122016097 2321096 20P GLO. B   55 BI06
2122016097 2255066 20P GLO. MB  55 HF12
2122016097 2321084 20P GLO. MB  55 BI06B
2122016097 2321083 20P REC. S   55 J21083
2122016097 2321086 20O GLO. MB  55 BK06H
2122016097 2321094 20O GLO. MB  55 BG06
2122016097 2321093 20O GLO. B   55 BG06
2122016097 2281081 20O GLO. B   55 HH01
2122016097 2212020 20O REC. B   55 J12020
2122016248 2110016 12O GLO. S   26 CA01
2122016248 2300034 15O GLO. NA  55 BA06
2122016248 2321050 15O GLO. MB  55 BA06
2122016248 2321064 15O GLO. B   55 BD06B
2122016248 2300035 16I GLO. B   55 BA01A
2122016248 2300033 16I GLO. MB  55 BA01
2122016248 2352035 16P GLO. B   55 BE02
2122016248 2321067 16O GLO. MB  55 BB06A
2122016248 2321053 16O GLO. MB  55 BB06A
2122016248 2321066 16O GLO. NA  55 BE06A
2122016248 2321057 17I GLO. S   55 BC06B
2122016248 2321061 17P GLO. MB  55 BD06A
2122016248 2321065 17O GLO. B   55 BE06B
2122016248 2321066 17O GLO. S   55 BE06A
2122016248 2321062 18I GLO. S   55 BC06
2122016248 2321068 18I GLO. MB  55 BF06B
2122016248 2321072 18P GLO. MB  55 BG06B
2122016248 2321063 18O GLO. NA  55 BE06A
2122016248 2321076 18O GLO. MB  55 BH06B
2122016248 2321056 18O GLO. NA  55 BB06A
2122016248 2321080 19I GLO. MB  55 BI06B
2122016248 2321054 19P GLO. NA  55 BD06
2122016248 2321081 19P GLO. MB  55 BI06B
2122016248 2321091 19O GLO. NA  55 BJ06
2122016248 2321051 19O GLO. B   55 BB06C
2122016248 2321088 19O GLO. B   55 BE06
2122016248 2321060 20I GLO. B   55 BF06A
2122016248 2321055 20I GLO. B   55 BC06B
2122016248 2321059 20P GLO. S   55 BF06A
2122016248 2321052 20P GLO. S   55 BI06A
2122016248 2300034 20O GLO. S   55 BA05
2122016248 2321063 20O GLO. B   55 BD06
2122019767 2255066 12P GLO. EQ  55
2122019767 2300033 12P GLO. EQ  55
2122019767 2300034 12P GLO. EQ  55
2122019767 2321054 12P GLO. EQ  55
2122019767 2352035 12P GLO. EQ  55
2122019767 2321053 12O GLO. EQ  55
2122019767 2321056 12O REC. EQ  55
2122019767 2300035 13I GLO. B   55 BA54
2122019767 2321052 13I GLO. B   55 BD06B
2122019767 2321051 13O GLO. B   55 BB06A
2122019767 2321062 13O GLO. S   55 BC06A
2122019767 2321050 14I GLO. MB  55 BA06
2122019767 2321055 14I REC. MB  55 J21055
2122019767 2321064 14I GLO. NA  55 BD06
2122019767 2321064 14I REC. S   55 J21064
2122019767 2321067 14I GLO. B   55 BB06A
2122019767 2321057 14P GLO. MB  55 BC06A
2122019767 2321061 14O GLO. MB  55 BD06B
2122019767 2321066 14O GLO. MB  55 BE06B
2122019767 2321063 14O GLO. S   55 BE06A
2122019767 2321059 14O REC. MB  55 J21059
2122019767 2321065 15I GLO. B   55 BE06A
2122019767 2321090 15I GLO. S   55 BI06
2122019767 2321060 15I GLO. MB  55 BF06A
2122019767 2321088 15I GLO. B   55 BF06
2122019767 2321089 15I GLO. MB  55 BH06
2122019767 2321069 15P GLO. B   55 BG06A
2122019767 2321091 15P GLO. MB  55 BG06
2122019767 2321071 15P GLO. B   55 BG06A
2122019767 2321068 15P GLO. MB  55 BF06A
2122019767 2321058 15O GLO. MB  55 BH06A
2122019767 2321072 15O GLO. NA  55 BG06A
2122019767 2321070 15O GLO. S   55 BG06A
2122019767 2321074 15O GLO. MB  55 BH06A
2122019767 2321072 15O REC. B   55 J21072
2122019767 2321077 16I GLO. MB  55 BI06A
2122019767 2321076 16I GLO. B   55 BH06B
2122019767 2352018 16I GLO. NA  55 BL05
2122019767 2321073 16I GLO. NA  55 BH06A
2122019767 2321073 16O GLO. MB  55 BH06A
2122019767 2293085 16O GLO. S   55 HH01
2122019767 2000004 16O GLO. NA  55 MDEX301
2122019767 2321080 17I GLO. S   55 BI06A
2122019767 2321092 17I GLO. NA  55 BH06
2122019767 2321081 17P GLO. B   55 BJ06A
2122019767 2211076 17P GLO. S   55 HA05
2122019767 2342005 17P GLO. MB  55 BH12
2122019767 2293027 17O GLO. NA  55 HD01
2122019767 2321084 17O GLO. B   55 BJ06A
2122019767 2211091 17O GLO. NA  55 HE05
2122019767 2250013 17O GLO. NA  55 HA01
2122019767 2281081 17O GLO. NA  55 HH01
2122019767 2321096 18I GLO. MB  55 BI06
2122019767 2321082 18I GLO. MB  55 BI06A
2122019767 2321079 18I GLO. MB  55 BI06A
2122019767 2352015 18I REC. NA  55 J52015
